Label,Notation,Parent Notation,Sort Priority
Black/african/caribbean/black british total,black/african/caribbean/black-british-total,,412
Mixed/multiple ethnic groups white and asian,mixed/multiple-ethnic-groups-white-and-asian,,413
Mixed/multiple ethnic groups white and black african,mixed/multiple-ethnic-groups-white-and-black-african,,414
Mixed/multiple ethnic groups white and black caribbean,mixed/multiple-ethnic-groups-white-and-black-caribbean,,415
Mixed/multiple ethnic groups any other mixed/multiple ethnic background,mixed/multiple-ethnic-groups-any-other-mixed/multiple-ethnic-background,,416
Mixed/multiple ethnic groups total,mixed/multiple-ethnic-groups-total,,417
Other ethnic group arab,other-ethnic-group-arab,,418
Other ethnic group any other ethnic group,other-ethnic-group-any-other-ethnic-group,,419
Other ethnic group total,other-ethnic-group-total,,420
White english/welsh/scottish/northern irish/british,white-english/welsh/scottish/northern-irish/british,,421
White gypsy traveller or irish traveller,white-gypsy-traveller-or-irish-traveller,,422
White irish,white-irish,,423
White any other white background,white-any-other-white-background,,424
White total,white-total,,425
Almost all the time,almost-all-the-time,,426
Several times a day,several-times-a-day,,427
About once a day,about-once-a-day,,428
Several times a week,several-times-a-week,,429
Less often,less-often,,430
Female,female,,431
Male,male,,432
Prefer not to say,prefer-not-to-say,,433
Self describe,self-describe,,434
Degree level or above,degree-level-or-above,,435
Another kind of qualification,another-kind-of-qualification,,436
Dont know,dont-know,,437
I would not be willing to pay any more to double my broadband speed,i-would-not-be-willing-to-pay-any-more-to-double-my-broadband-speed,,438
Managerial administrative and professional occupations,managerial-administrative-and-professional-occupations,,439
Intermediate occupations,intermediate-occupations,,440
Small employers and own account workers,small-employers-and-own-account-workers,,441
Lower supervisory and technical occupations,lower-supervisory-and-technical-occupations,,442
Semi routine and routine occupations,semi-routine-and-routine-occupations,,443
Never worked and long term unemployed,never-worked-and-long-term-unemployed,,444
East midlands,east-midlands,,445
East of england,east-of-england,,446
London,london,,447
North east,north-east,,448
North west,north-west,,449
South east,south-east,,450
South west,south-west,,451
West midlands,west-midlands,,452
Yorkshire and the humber,yorkshire-and-the-humber,,453
Bedfordshire and hertfordshire,bedfordshire-and-hertfordshire,,454
Berkshire buckinghamshire and oxfordshire,berkshire-buckinghamshire-and-oxfordshire,,455
Cheshire,cheshire,,456
Cornwall and isles of scilly,cornwall-and-isles-of-scilly,,457
Cumbria,cumbria,,458
Derbyshire and nottinghamshire,derbyshire-and-nottinghamshire,,459
Devon,devon,,460
Dorset and somerset,dorset-and-somerset,,461
East anglia,east-anglia,,462
East yorkshire and northern lincolnshire,east-yorkshire-and-northern-lincolnshire,,463
Essex,essex,,464
Gloucestershire wiltshire and bath/bristol area,gloucestershire-wiltshire-and-bath/bristol-area,,465
Greater manchester,greater-manchester,,466
Hampshire and isle of wight,hampshire-and-isle-of-wight,,467
Herefordshire worcestershire and warwickshire,herefordshire-worcestershire-and-warwickshire,,468
Inner london east,inner-london-east,,469
Inner london west,inner-london-west,,470
Kent,kent,,471
Lancashire,lancashire,,472
Leicestershire rutland and northamptonshire,leicestershire-rutland-and-northamptonshire,,473
Lincolnshire,lincolnshire,,474
Merseyside,merseyside,,475
North yorkshire,north-yorkshire,,476
Northumberland and tyne and wear,northumberland-and-tyne-and-wear,,477
Outer london east and north east,outer-london-east-and-north-east,,478
Outer london south,outer-london-south,,479
Outer london west and north west,outer-london-west-and-north-west,,480
Shropshire and staffordshire,shropshire-and-staffordshire,,481
South yorkshire,south-yorkshire,,482
Surrey east and west sussex,surrey-east-and-west-sussex,,483
Tees valley and durham,tees-valley-and-durham,,484
West yorkshire,west-yorkshire,,485
Rural,rural,,486
Urban,urban,,487
Owners,owners,,488
Private rented sector,private-rented-sector,,489
Social rented sector,social-rented-sector,,490
Buddhist,buddhist,,491
Christian including church of england catholic protestant and all other christian denominations,christian-including-church-of-england-catholic-protestant-and-all-other-christian-denominations,,492
Hindu,hindu,,493
Jewish,jewish,,494
Muslim,muslim,,495
Sikh,sikh,,496
Any other religion,any-other-religion,,497
No religion,no-religion,,498
Very comfortable,very-comfortable,,499
Fairly comfortable,fairly-comfortable,,500
Fairly uncomfortable,fairly-uncomfortable,,501
Very uncomfortable,very-uncomfortable,,502
Strongly agree,strongly-agree,,503
Agree,agree,,504
Neither agree or disagree,neither-agree-or-disagree,,505
Disagree,disagree,,506
Strongly disagree,strongly-disagree,,507
1 most deprived,1-most-deprived,,508
2.0,2-0,,509
3.0,3-0,,510
4.0,4-0,,511
5.0,5-0,,512
6.0,6-0,,513
7.0,7-0,,514
8.0,8-0,,515
9.0,9-0,,516
10 least deprived,10-least-deprived,,517
Up to £20,up-to-ps20,,518
£21 to £30,ps21-to-ps30,,519
£31 to £40,ps31-to-ps40,,520
£41 to £50,ps41-to-ps50,,521
£50 to £60,ps50-to-ps60,,522
More than £60,more-than-ps60,,523
Up to £2,up-to-ps2,,524
Between £2 and £5,between-ps2-and-ps5,,525
Between £5 and £7.5,between-ps5-and-ps7-5,,526
Between £7.5 and £10,between-ps7-5-and-ps10,,527
Between £10 and £15,between-ps10-and-ps15,,528
More than £15,more-than-ps15,,529
Up to £5,up-to-ps5,,530
£6 to £10,ps6-to-ps10,,531
£11 to £15,ps11-to-ps15,,532
£16 to £25,ps16-to-ps25,,533
£26 to £35,ps26-to-ps35,,534
More than £35,more-than-ps35,,535
I would not be willing to pay any more per month for 1gbps (1000mbps) speeds,i-would-not-be-willing-to-pay-any-more-per-month-for-1gbps-1000mbps-speeds,,536
I hadn't heard of it before now,i-hadn-t-heard-of-it-before-now,,537
ITL2 Region - Bedfordshire and Hertfordshire,itl2-region-bedfordshire-and-hertfordshire,,538
ITL2 Region - Berkshire' Buckinghamshire and Oxfordshire,itl2-region-berkshire-buckinghamshire-and-oxfordshire,,539
ITL2 Region - Cheshire,itl2-region-cheshire,,540
ITL2 Region - Cornwall and Isles of Scilly,itl2-region-cornwall-and-isles-of-scilly,,541
ITL2 Region - Cumbria,itl2-region-cumbria,,542
ITL2 Region - Derbyshire and Nottinghamshire,itl2-region-derbyshire-and-nottinghamshire,,543
ITL2 Region - Devon,itl2-region-devon,,544
ITL2 Region - Dorset and Somerset,itl2-region-dorset-and-somerset,,545
ITL2 Region - East Anglia,itl2-region-east-anglia,,546
ITL2 Region - East Yorkshire and Northern Lincolnshire,itl2-region-east-yorkshire-and-northern-lincolnshire,,547
ITL2 Region - Essex,itl2-region-essex,,548
ITL2 Region - Gloucestershire' Wiltshire and Bath/Bristol area,itl2-region-gloucestershire-wiltshire-and-bath/bristol-area,,549
ITL2 Region - Greater Manchester,itl2-region-greater-manchester,,550
ITL2 Region - Hampshire and Isle of Wight,itl2-region-hampshire-and-isle-of-wight,,551
ITL2 Region - Herefordshire' Worcestershire and Warwickshire,itl2-region-herefordshire-worcestershire-and-warwickshire,,552
ITL2 Region - Inner London - East,itl2-region-inner-london-east,,553
ITL2 Region - Inner London - West,itl2-region-inner-london-west,,554
ITL2 Region - Kent,itl2-region-kent,,555
ITL2 Region - Lancashire,itl2-region-lancashire,,556
ITL2 Region - Leicestershire' Rutland and Northamptonshire,itl2-region-leicestershire-rutland-and-northamptonshire,,557
ITL2 Region - Lincolnshire,itl2-region-lincolnshire,,558
ITL2 Region - Merseyside,itl2-region-merseyside,,559
ITL2 Region - North Yorkshire,itl2-region-north-yorkshire,,560
ITL2 Region - Northumberland' and Tyne and Wear,itl2-region-northumberland-and-tyne-and-wear,,561
ITL2 Region - Outer London - East and North East,itl2-region-outer-london-east-and-north-east,,562
ITL2 Region - Outer London - South,itl2-region-outer-london-south,,563
ITL2 Region - Outer London - West and North West,itl2-region-outer-london-west-and-north-west,,564
ITL2 Region - Shropshire and Staffordshire,itl2-region-shropshire-and-staffordshire,,565
ITL2 Region - South Yorkshire,itl2-region-south-yorkshire,,566
ITL2 Region - Surrey' East and West Sussex,itl2-region-surrey-east-and-west-sussex,,567
ITL2 Region - Tees Valley and Durham,itl2-region-tees-valley-and-durham,,568
ITL2 Region - West Midlands,itl2-region-west-midlands,,569
ITL2 Region - West Yorkshire,itl2-region-west-yorkshire,,570
