Period,Area,Mission,Category,Indicator,Observation
2020,E07000135,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18812
1997,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,9933
1998,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10163
1999,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10676
2000,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11194
2001,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11705
2002,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12068
2003,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12574
2004,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13025
2005,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13567
2006,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13754
2007,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14422
2008,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14631
2009,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14762
2010,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14854
2011,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15384
2012,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15889
2013,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16035
2014,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16364
2015,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16902
2016,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16792
2017,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17238
2018,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17465
2019,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18176
2020,E07000136,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18448
1997,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,9330
1998,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,9554
1999,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,9757
2000,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10091
2001,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10352
2002,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10528
2003,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11065
2004,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11530
2005,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12070
2006,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12389
2007,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13241
2008,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13649
2009,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14042
2010,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14450
2011,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14925
2012,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15367
2013,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15741
2014,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16298
2015,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16918
2016,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16939
2017,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17378
2018,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18309
2019,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18806
2020,E07000137,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18853
1997,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,8015
1998,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,8230
1999,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,8567
2000,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,8916
2001,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,9332
2002,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,9864
2003,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10199
2004,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10436
2005,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10789
2006,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11095
2007,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11703
2008,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11970
2009,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12533
2010,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12556
2011,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12944
2012,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13371
2013,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13579
2014,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13790
2015,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14273
2016,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14326
2017,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14714
2018,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15296
2019,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15694
2020,E07000138,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16004
1997,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11131
1998,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11373
1999,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11582
2000,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11896
2001,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12178
2002,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12333
2003,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12742
2004,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13099
2005,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13712
2006,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14005
2007,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14770
2008,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14994
2009,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15280
2010,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15477
2011,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15859
2012,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16379
2013,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16748
2014,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17146
2015,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17824
2016,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17764
2017,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18254
2018,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18911
2019,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,19175
2020,E07000139,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,19312
1997,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10438
1998,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10613
1999,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11024
2000,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11564
2001,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11884
2002,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12050
2003,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12432
2004,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12704
2005,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13243
2006,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13419
2007,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14158
2008,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14318
2009,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14500
2010,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14692
2011,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15018
2012,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15558
2013,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15864
2014,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16235
2015,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16782
2016,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16700
2017,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17141
2018,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17476
2019,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17389
2020,E07000140,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17605
1997,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10686
1998,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10920
1999,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11365
2000,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11944
2001,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12320
2002,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12578
2003,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13179
2004,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13768
2005,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14478
2006,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14737
2007,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15762
2008,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16191
2009,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16282
2010,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16600
2011,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16950
2012,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17396
2013,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17704
2014,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18228
2015,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18933
2016,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18864
2017,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,19395
2018,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,20811
2019,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,21660
2020,E07000141,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,21467
1997,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10737
1998,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10994
1999,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11355
2000,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11885
2001,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12147
2002,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12298
2003,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12729
2004,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13280
2005,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13839
2006,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14125
2007,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14969
2008,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15361
2009,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15625
2010,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15959
2011,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16435
2012,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16777
2013,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17216
2014,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17705
2015,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18243
2016,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18209
2017,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18870
2018,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,19145
2019,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,19633
2020,E07000142,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,19691
1997,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,7904
1998,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,8254
1999,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,8740
2000,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,9156
2001,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,9470
2002,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,9731
2003,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10126
2004,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10639
2005,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10837
2006,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11129
2007,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11841
2008,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12159
2009,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12637
2010,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12608
2011,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12749
2012,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13155
2013,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13434
2014,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13857
2015,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14589
2016,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14659
2017,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15125
2018,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15810
2019,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16176
2020,E07000170,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,16437
1997,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,9336
1998,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,9693
1999,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10099
2000,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10756
2001,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11081
2002,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11497
2003,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,11745
2004,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12474
2005,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,12822
2006,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,13110
2007,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14112
2008,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14431
2009,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14697
2010,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14569
2011,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,14718
2012,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15101
2013,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15445
2014,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,15968
2015,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17114
2016,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17012
2017,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,17376
2018,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18165
2019,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18700
2020,E07000171,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,18632
1997,E07000172,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,9347
1998,E07000172,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,9689
1999,E07000172,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10207
2000,E07000172,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross disposable household income per head,10396
